tstamp,sitename,dns time,dns time two,pret time,pret time two,ttfb time,ttfb time two,RTTthree,RTT,RTTtwo,pingRTT
2018-03-14 20:55:08.075200,www.chase.com,83.759,31.36,248.312,120.714,270.629,165.849,52.702,22.317,45.135,None
2018-03-14 20:55:14.843506,www.mediafire.com,48.294,0.054,184.863,0.137,421.701,247.07,243.229,236.838,246.933,None
2018-03-14 20:55:22.028404,www.uol.com.br,675.012,161.358,675.093,161.439,841.11,329.34,166.019,166.017,167.901,373.411
2018-03-14 20:55:30.242586,www.avito.ru,0.041,0.045,0.111,0.097,374.394,233.606,285.462,374.283,233.509,173.346
2018-03-14 20:55:35.837752,www.facebook.com,0.039,0.035,0.11,0.099,90.762,95.401,95.589,90.652,95.302,47.084
2018-03-14 20:55:39.075793,www.tudou.com,335.004,593.077,335.078,593.16,729.637,1050.662,244.251,394.559,457.502,432.032
2018-03-14 20:55:49.498113,www.etsy.com,45.984,0.025,225.506,0.062,396.01,163.37,178.082,170.504,163.308,38.296
2018-03-14 20:55:52.988509,www.pittsburgh.craigslist.org,339.158,0.045,339.234,0.112,433.557,92.484,97.231,94.323,92.372,113.935
2018-03-14 20:56:05.738398,www.naver.com,87.326,0.048,249.586,0.119,478.738,227.457,247.296,229.152,227.338,None
2018-03-14 20:56:13.392975,www.whatsapp.com,269.646,0.05,269.721,0.113,572.037,184.824,301.307,302.316,184.711,113.723
2018-03-14 20:56:17.011338,www.ok.ru,394.403,0.042,959.707,0.11,1284.878,175.919,176.8,325.171,175.809,169.414
2018-03-14 20:56:22.158934,www.linkedin.com,48.044,0.026,210.403,0.07,382.098,196.737,167.073,171.695,196.667,45.426
2018-03-14 20:56:25.632879,www.alipay.com,816.381,0.042,2167.237,0.114,2485.681,318.558,323.137,318.444,318.444,559.851
2018-03-14 20:56:35.779287,www.nytimes.com,44.456,15.044,202.418,95.241,215.265,174.753,18.046,12.847,79.512,130.587
2018-03-14 20:56:39.244125,www.diply.com,277.72,0.023,277.8,0.059,299.87,22.446,30.642,22.07,22.387,62.580
2018-03-14 20:56:42.057455,www.vimeo.com,268.958,0.021,436.293,0.052,892.869,405.341,83.552,456.576,405.289,44.802
2018-03-14 20:56:45.974948,www.tmall.com,607.89,0.038,1204.964,0.1,1301.59,91.986,90.125,96.626,91.886,393.447
2018-03-14 20:56:51.731026,www.english.china.com,1528.336,15.628,1528.411,15.661,1800.103,33.87,19.863,271.692,18.209,349.371
2018-03-14 20:56:56.332017,www.en.uptodown.com,268.661,0.028,268.734,0.066,389.984,14.433,21.21,121.25,14.367,45.130
2018-03-14 20:56:59.546246,www.rakuten.co.jp,277.763,0.086,427.089,0.276,6760.814,5447.212,5074.594,6333.725,5446.936,403.189
2018-03-14 20:57:36.484086,www.vk.com,388.698,0.07,879.314,0.174,1033.134,160.349,150.965,153.82,160.175,185.131
2018-03-14 20:57:42.852325,www.reddit.com,50.746,0.018,195.573,0.039,495.934,39.377,36.274,300.361,39.338,172.758
2018-03-14 20:57:46.452424,www.vice.com,12.951,22.457,101.696,246.713,763.606,265.294,43.084,661.91,18.581,None
2018-03-14 20:57:54.144701,www.bbc.com,271.421,0.026,271.551,0.05,294.395,15.455,12.166,22.844,15.405,62.866
2018-03-14 20:57:56.929403,www.twitter.com,291.165,0.059,494.739,0.156,622.679,328.141,461.237,127.94,327.985,140.014
2018-03-14 20:58:02.134522,www.ask.com,525.489,0.043,689.435,0.099,787.006,92.524,188.036,97.571,92.425,55.716
2018-03-14 20:58:06.055481,www.flipkart.com,296.979,0.071,1210.21,0.2,1815.408,727.754,717.8,605.198,727.554,268.783
2018-03-14 20:58:20.979003,www.alibaba.com,350.834,0.058,350.958,0.129,489.61,130.769,130.89,138.652,130.64,101.465
2018-03-14 20:58:25.071320,www.bilibili.com,149.177,0.039,313.573,0.097,362.725,33.732,25.532,49.152,33.635,458.649
2018-03-14 20:58:29.956131,www.imgur.com,277.989,0.072,483.654,0.138,507.768,30.345,24.741,24.114,30.207,42.202
2018-03-14 20:58:34.025607,www.pinterest.com,48.285,0.021,191.57,0.055,523.51,281.95,226.644,331.94,281.895,52.770
2018-03-14 20:58:37.816141,www.indiatimes.com,81.233,0.011,300.364,0.027,2441.711,433.973,507.818,2141.347,433.946,None
2018-03-14 20:58:47.992313,www.paypal.com,0.066,0.07,0.19,0.182,314.369,267.019,239.223,314.179,266.837,None
2018-03-14 20:58:55.493679,www.tripadvisor.com,44.598,0.041,202.513,0.108,446.971,131.285,163.94,244.458,131.177,147.472
2018-03-14 20:58:59.697364,www.bing.com,529.131,0.018,529.26,0.044,605.821,64.595,51.804,76.561,64.551,74.532
2018-03-14 20:59:03.049071,www.stackoverflow.com,269.786,0.013,447.311,0.031,471.972,38.641,24.909,24.661,38.61,52.034
2018-03-14 20:59:06.854489,www.slideshare.net,82.351,0.015,271.97,0.032,2038.085,1834.828,1619.476,1766.115,1834.796,82.402
2018-03-14 20:59:15.502127,www.dailymotion.com,345.194,0.025,345.306,0.078,533.386,107.93,103.24,188.08,107.852,119.372
2018-03-14 20:59:18.633926,www.fc2.com,136.31,0.045,544.853,0.115,766.966,121.097,114.514,222.113,120.982,136.288
2018-03-14 20:59:23.163898,www.coccoc.com,809.038,0.036,809.112,0.09,1124.584,300.063,300.599,315.472,299.973,606.305
2018-03-14 20:59:32.157217,www.gfycat.com,280.346,0.013,430.646,0.03,502.655,35.386,19.73,72.009,35.356,38.329
2018-03-14 20:59:35.748329,www.postsecret.com,143.438,0.013,299.734,0.032,328.397,39.69,26.058,28.663,39.658,170.124
2018-03-14 20:59:39.737374,www.soundcloud.com,282.5,0.042,444.186,0.106,795.687,138.859,356.327,351.501,138.753,46.687
2018-03-14 20:59:44.140677,www.booking.com,130.752,0.036,282.43,0.093,1108.342,835.712,737.317,825.912,835.619,None
2018-03-14 20:59:54.422314,www.sohu.com,591.554,0.034,591.627,0.058,695.457,82.929,82.147,103.83,82.871,369.029
2018-03-14 21:04:11.061936,www.imdb.com,272.469,0.017,272.542,0.033,605.205,291.636,256.561,332.663,291.603,53.112
2018-03-14 21:04:15.039083,www.netflix.com,83.071,0.028,264.194,0.07,569.458,280.394,268.564,305.264,280.324,None
2018-03-14 21:04:22.211493,www.theguardian.com,21.241,21.852,102.441,175.581,369.215,271.969,73.383,266.774,96.388,43.242
2018-03-14 21:04:29.991724,www.github.com,290.412,0.027,476.342,0.049,601.252,91.98,106.361,124.91,91.931,77.573
2018-03-14 21:04:33.666074,www.godaddy.com,76.828,0.025,238.765,0.041,3872.017,226.705,312.153,3633.252,226.664,96.053
2018-03-14 21:04:47.458657,www.livedoor.com,705.916,185.48,705.988,185.555,909.015,403.704,209.192,203.027,218.149,461.502
2018-03-14 21:04:54.752771,www.yahoo.com,52.93,0.03,261.049,0.056,299.846,53.651,49.607,38.797,53.595,84.741
2018-03-14 21:05:01.258394,www.apple.com,78.556,0.024,227.833,0.063,257.447,27.2,20.195,29.614,27.137,None
2018-03-14 21:05:07.131116,www.bet365.com,0.037,0.038,0.117,0.117,310.896,250.531,252.859,310.779,250.414,140.942
